STORENAME,WHICHCVS,ADDRESS,시도,구군
명륜포스코점,GS25,"강원 원주시 서원대로290, 108호 109호 (명륜동 190-3, 더샵원주센트럴파크2단지)",강원도,원주시
무실3주공점,GS25,"강원 원주시 시청로92-1, 주공3차 상가동 102호103호 (무실동 1645-5)",강원도,원주시
무실코아루점,GS25,"강원 원주시 시청로89-16, 1층 101호,102호 (무실동 1736-3)",강원도,원주시
무실포스코,GS25,"강원 원주시 무실새골길66, 상가동 B303호,B304호 (무실동 1922, 원주더샵센트럴파크4단지)",강원도,원주시
묵호중앙점,GS25,강원 동해시 중앙시장길9 (발한동 12-10),강원도,동해시
묵호항점,GS25,강원 동해시 일출로69 (묵호진동 15-50),강원도,동해시
문막IC점,GS25,"강원 원주시 문막읍 건등로76, 1층 (건등리 1473)",강원도,원주시
문막건등로점,GS25,"강원 원주시 문막읍 건등로10-1, 1층 (건등리 1710)",강원도,원주시
문막건등점,GS25,강원 원주시 문막읍 왕건로41 (건등리 1624-4),강원도,원주시
문막대로점,GS25,강원 원주시 문막읍 원문로1648 (건등리 318),강원도,원주시
문막반계리점,GS25,강원 원주시 문막읍 문막공단길292 (반계리 2265-6),강원도,원주시
문막세오름점,GS25,강원 원주시 문막읍 세오름길6 (동화리 1277-22),강원도,원주시
문막코아루점,GS25,"강원 원주시 문막읍 원문로1700-1, 1층 103호 (건등리 1440, 서원주코아루아너스)",강원도,원주시
문막희망점,GS25,강원 원주시 문막읍 문막시장1길27 (문막리 261-1),강원도,원주시
백두2호점,GS25,강원 횡성군 둔내면 둔내로49 (자포곡리 463-82),강원도,횡성군
밸리쉼터점,GS25,강원 원주시 지정면 월송석화로510 (월송리 925-9),강원도,원주시
봄내박물관점,GS25,강원 춘천시 우석로46(석사동 764-1),강원도,춘천시
봄내위도점,GS25,강원 춘천시 영서로3020(사농동 660),강원도,춘천시
북춘천점,GS25,강원 춘천시 충열로153 (우두동 444-1),강원도,춘천시
사내문화점,GS25,"강원 화천군 사내면 포화로1142, 1층(사창리 973-1)",강원도,화천군
사내제일점,GS25,강원 화천군 사내면 사내로35 (사창리 457-45),강원도,화천군
사북산수빌점,GS25,"강원 정선군 사북읍 소금강로3535, 104호(사북리 452-46, 산수빌아파트)",강원도,정선군
사북선명점,GS25,"강원 정선군 사북읍 파랑새길28, 상가 101~2호(사북리 300-3, 선명아파트)",강원도,정선군
사북스카이점,GS25,강원 정선군 사북읍 사북1길39 (사북리 356-27),강원도,정선군
사북아리랑점,GS25,강원 정선군 사북읍 사북중앙로13 (사북리 366-142),강원도,정선군
사북황소점,GS25,"강원 정선군 사북읍 사북중앙로47, 1층 (사북리 370)",강원도,정선군
사천비치점,GS25,"강원 강릉시 사천면 진리해변길73, 1층 (사천진리 2-41)",강원도,강릉시
삼척강원대점,GS25,강원 삼척시 언장1길68(교동 520-2),강원도,삼척시
삼척건지점,GS25,"강원 삼척시 엑스포로176, 104호 (건지동 174, 주공아파트상가)",강원도,삼척시
삼척고점,GS25,"강원 삼척시 사대안길19, 1층 (남양동 24-11)",강원도,삼척시
삼척근덕점,GS25,강원 삼척시 근덕면 삼척로3684 (교가리 564-1),강원도,삼척시
삼척근덕중앙점,GS25,"강원 삼척시 근덕면 교가길25, 세븐일레븐 삼척근덕점 (교가리 361-1)",강원도,삼척시
삼척금빛점,GS25,"강원 삼척시 동해대로4181, 번지 (교동 100-11)",강원도,삼척시
삼척남양점,GS25,"강원 삼척시 진주로24, 101호(남양동 34-18)",강원도,삼척시
삼척남화산점,GS25,강원 삼척시 원덕읍 삼척로1224 (임원리 430-4),강원도,삼척시
삼척대성점,GS25,"강원 삼척시 중앙시장길48-29, 105~106호(남양동 55-23)",강원도,삼척시
삼척동부점,GS25,"강원 삼척시 동해대로4273, 102호 (교동 501-5, 동부아파트)",강원도,삼척시
삼척리첼점,GS25,"강원 삼척시 마달길215 (마달동 산34-4, 삼척마달세영리첼아파트)",강원도,삼척시
삼척사랑점,GS25,강원 삼척시 사대길38 (남양동 12-1),강원도,삼척시
삼척사직로점,GS25,강원 삼척시 사직로16 (남양동 352-3),강원도,삼척시
삼척센트럴점,GS25,"강원 삼척시 대학로49-9 (당저동 131-4, 라벤다모텔)",강원도,삼척시
삼척옥원점,GS25,강원 삼척시 원덕읍 삼척로648 (옥원리 31-2),강원도,삼척시
삼척용화점,GS25,"강원 삼척시 근덕면 삼척로2242, 1층 (용화리 164-56)",강원도,삼척시
삼척원당점,GS25,"강원 삼척시 오십천로301-11, 1층 (원당동 78-5)",강원도,삼척시
삼척유성점,GS25,강원 삼척시 정상동316-1번지,강원도,삼척시
삼척이편한점,GS25,강원 삼척시 하실길42 (교동 206-1),강원도,삼척시
삼척임원항점,GS25,"강원 삼척시 원덕읍 임원항구로15, 1층 (임원리 152)",강원도,삼척시
삼척장호항점,GS25,강원 삼척시 근덕면 삼척로2095 (장호리 191-1),강원도,삼척시
삼척터미널점,GS25,"강원 삼척시 봉황로9-22 (남양동 341, 삼척종합버스터미널)",강원도,삼척시
삼척항점,GS25,"강원 삼척시 새천년도로84, 1층 GS25삼척항점 (정하동 41-47)",강원도,삼척시
삼척해변점,GS25,강원 삼척시 새천년도로523(교동 413-2),강원도,삼척시
삼척호산점,GS25,"강원 삼척시 원덕읍 삼척로428, 1층 101호, 102호, 2층 201호 (호산리 234, 호산타워)",강원도,삼척시
새말IC점,GS25,강원 횡성군 우천면우항리 381-3번지,강원도,횡성군
서화터미널점,GS25,강원 인제군 서화면 서화길3 (서화리 657-4),강원도,인제군
