대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
102473,생선누르미,복합식품,부식,구이류,구이,2
102474,생선떡구이,복합식품,기호식,떡류,지진떡,1
102475,생선만두,복합식품,주식,면류,만두,2
102476,생선문주,복합식품,부식,찜류,찜,10
102479,생선뼈,기술,기타,기타,기타,2
102482,생선산적,복합식품,부식,구이류,적,1
102483,생선숙회,복합식품,부식,회류,초회,5
102484,생선식해,복합식품,부식,젓갈류,식해,14
102485,생선자반,복합식품,부식,장아찌류,기타,1
102486,생선장,복합식품,조미식,장류,기타,3
102487,생선장아찌,복합식품,부식,장아찌류,장아찌,2
102488,생선전,복합식품,부식,구이류,전,16
102489,생선전골,복합식품,부식,전골류,전골,1
102492,생선절임,복합식품,기타,기타,기타,7
102494,생선젓갈,복합식품,부식,젓갈류,발효젓,3
102495,생선조리법,복합식품,기타,기타,기타,6
102496,생선조림,복합식품,부식,찜류,조림,9
102497,생선조치,복합식품,부식,전골류,찌개,1
102499,생선찌개,복합식품,부식,전골류,찌개,4
102500,생선찜,복합식품,부식,찜류,찜,9
102502,생선탕,복합식품,부식,국류,탕류,1
102503,생선튀김,복합식품,기타,기타,기타,3
102504,생선포,복합식품,부식,장아찌류,기타,4
102505,생선화양적,복합식품,부식,구이류,적,1
102506,생선회,복합식품,부식,회류,기타,9
102507,소라초,복합식품,부식,찜류,초,1
102508,생엿강정,복합식품,기호식,한과류,엿강정,1
102509,오이,복합식품,부식,나물류,생채,2
102517,생치편포,복합식품,부식,장아찌류,기타,1
102519,생편,복합식품,기호식,떡류,삶은떡,3
102522,생합전유어,복합식품,부식,구이류,전유어,2
102523,생합초,복합식품,부식,찜류,초,1
102525,생허파,복합식품,기타,기타,기타,1
102526,생황장,복합식품,조미식,장류,된장,1
102528,서국미죽,복합식품,기타,기타,기타,1
102529,서김법,복합식품,주류,기타,기타,1
102531,서미주,복합식품,주류,양조곡주,혼양곡주류,2
102532,서속떡,복합식품,기호식,떡류,기타,1
102533,서여향병,복합식품,기호식,떡류,찐떡,1
102537,석류과,복합식품,기호식,한과류,기타,1
102538,석류병,복합식품,기호식,떡류,지진떡,1
102539,석류탕,복합식품,부식,국류,탕류,4
102540,석박지,복합식품,부식,김치,무김치,15
102542,석이나물,복합식품,부식,나물류,숙채,1
102543,석이단자,복합식품,기호식,떡류,친떡,14
102544,석이떡,복합식품,기호식,떡류,기타,3
102545,석이메시루떡,복합식품,기호식,떡류,찐떡,5
102547,석이버섯누르미,복합식품,부식,구이류,구이,1
102548,석이버섯떡,복합식품,기호식,떡류,기타,1
