"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","N","","7","165","23.6","7","232","33.1","7","227","32.4","0","0","0","0","0","0","21","624","29.7","41","15.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","N","","7","217","31","7","237","33.9","9","291","32.3","1","4","4","0","0","0","24","749","31.2","44","17"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000710","동덕여자중학교","03","사립","N","","7","152","21.7","7","164","23.4","7","158","22.6","0","0","0","0","0","0","21","474","22.6","35","13.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000711","반포중학교","03","공립","N","","0","0","0","9","223","24.8","9","211","23.4","0","0","0","0","0","0","18","434","24.1","36","12.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000712","방배중학교","03","공립","N","","8","179","22.4","6","186","31","7","191","27.3","1","4","4","0","0","0","22","560","25.5","36","15.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000713","봉은중학교","03","공립","N","","5","90","18","5","106","21.2","5","130","26","0","0","0","0","0","0","15","326","21.7","32","10.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000714","서문여자중학교","03","사립","N","","8","201","25.1","8","204","25.5","8","235","29.4","0","0","0","0","0","0","24","640","26.7","42","15.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000715","서운중학교","03","공립","N","","12","374","31.2","12","398","33.2","12","398","33.2","0","0","0","0","0","0","36","1170","32.5","64","18.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000716","서일중학교","03","공립","N","","11","341","31","11","358","32.5","11","357","32.5","1","5","5","0","0","0","34","1061","31.2","56","18.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000717","서초중학교","03","공립","N","","9","238","26.4","9","240","26.7","8","205","25.6","1","7","7","0","0","0","27","690","25.6","50","13.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000718","세화여자중학교","03","사립","N","","9","236","26.2","9","296","32.9","9","297","33","0","0","0","0","0","0","27","829","30.7","50","16.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000719","수서중학교","03","공립","N","","7","161","23","8","171","21.4","8","182","22.8","2","7","3.5","0","0","0","25","521","20.8","44","11.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000720","숙명여자중학교","03","사립","N","","9","290","32.2","9","312","34.7","9","306","34","0","0","0","0","0","0","27","908","33.6","45","20.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000721","신구중학교","03","공립","N","","4","105","26.3","5","110","22","5","109","21.8","0","0","0","0","0","0","14","324","23.1","30","10.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000722","신동중학교","03","공립","N","","9","254","28.2","8","268","33.5","10","301","30.1","0","0","0","0","0","0","27","823","30.5","50","16.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000723","신반포중학교","03","공립","N","","10","299","29.9","9","208","23.1","9","202","22.4","1","5","5","0","0","0","29","714","24.6","51","14"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000724","신사중학교","03","공립","N","","5","108","21.6","5","121","24.2","6","169","28.2","1","6","6","0","0","0","17","404","23.8","28","14.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000725","언남중학교","03","공립","N","","5","124","24.8","6","119","19.8","6","136","22.7","1","5","5","0","0","0","18","384","21.3","30","12.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000726","언북중학교","03","공립","N","","4","97","24.3","5","114","22.8","5","106","21.2","1","6","6","0","0","0","15","323","21.5","26","12.4"
