"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0160","교육/예술/종교","문화시설","기타 문화시설","","서울패션/창작스튜디오","서울패션창작스튜디오","","","서울특별시","중구","신당동"
"BE_LiST36-0161","교육/예술/종교","문화시설","기타 문화시설","","시공아트/스페이스","시공아트스페이스","","","서울특별시","종로구","평창동"
"BE_LiST36-0162","교육/예술/종교","문화시설","기타 문화시설","","아트센터K","아트센터K","","","서울특별시","종로구","혜화동"
"BE_LiST36-0163","교육/예술/종교","문화시설","기타 문화시설","","알과핵소극장","알과핵소극장","","","서울특별시","종로구","이화동"
"BE_LiST36-0164","교육/예술/종교","문화시설","기타 문화시설","","암사/어린이극장","암사어린이극장","","","서울특별시","강동구","암사3동"
"BE_LiST36-0165","교육/예술/종교","문화시설","기타 문화시설","","열린극장","열린극장","","","서울특별시","종로구","혜화동"
"BE_LiST36-0026","교육/예술/종교","문화시설","미술관","","그림사랑","그림사랑","","","서울특별시","서대문구","홍은2동"
"BE_LiST36-0027","교육/예술/종교","문화시설","미술관","","금호미술관","금호미술관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0028","교육/예술/종교","문화시설","미술관","","김달진미술/자료박물관","김달진미술자료박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0029","교육/예술/종교","문화시설","미술관","","김종영미술관","김종영미술관","","","서울특별시","종로구","평창동"
"BE_LiST36-0030","교육/예술/종교","문화시설","미술관","","김콜렉션","김콜렉션","","","서울특별시","종로구","평창동"
"BE_LiST36-0031","교육/예술/종교","문화시설","미술관","","김현주갤러리","김현주갤러리","","","서울특별시","종로구","삼청동"
"BE_LiST36-0032","교육/예술/종교","문화시설","미술관","","노화랑","노화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0033","교육/예술/종교","문화시설","미술관","","다도화랑","다도화랑","","","서울특별시","강남구","신사동"
"BE_LiST36-0034","교육/예술/종교","문화시설","미술관","","다이아몬드/갤러리","다이아몬드갤러리","","","서울특별시","성북구","성북동"
"BE_LiST36-0035","교육/예술/종교","문화시설","미술관","","대림미술관","대림미술관","","","서울특별시","종로구","사직동"
"BE_LiST36-0036","교육/예술/종교","문화시설","미술관","","대림화랑","대림화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0037","교육/예술/종교","문화시설","미술관","","대안공간풀","대안공간풀","","","서울특별시","종로구","평창동"
"BE_LiST36-0038","교육/예술/종교","문화시설","미술관","","덕원갤러리","덕원갤러리","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0039","교육/예술/종교","문화시설","미술관","","동산방화랑","동산방화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0040","교육/예술/종교","문화시설","미술관","","디아갤러리","디아갤러리","","","서울특별시","종로구","가회동"
"BE_LiST36-0041","교육/예술/종교","문화시설","미술관","","로댕갤러리","로댕갤러리","","","서울특별시","중구","소공동"
"BE_LiST36-0042","교육/예술/종교","문화시설","미술관","","뤼미에르/갤러리","뤼미에르갤러리","","","서울특별시","종로구","사직동"
"BE_LiST36-0043","교육/예술/종교","문화시설","미술관","","리안갤러리","리안갤러리","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0044","교육/예술/종교","문화시설","미술관","","모던화랑","모던화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0045","교육/예술/종교","문화시설","미술관","","모인화랑","모인화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0046","교육/예술/종교","문화시설","미술관","","몽환","몽환","","","서울특별시","서대문구","신촌동"
"BE_LiST36-0047","교육/예술/종교","문화시설","미술관","","문화서화사","문화서화사","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0048","교육/예술/종교","문화시설","미술관","","미림화방","미림화방","","","서울특별시","용산구","한강로동"
"BE_LiST36-0049","교육/예술/종교","문화시설","미술관","","백자은갤러리","백자은갤러리","","","서울특별시","종로구","평창동"
"BE_LiST36-0050","교육/예술/종교","문화시설","미술관","","백해영갤러리","백해영갤러리","","","서울특별시","용산구","이태원1동"
"BE_LiST36-0051","교육/예술/종교","문화시설","미술관","","변종하미술관","변종하미술관","","","서울특별시","성북구","성북동"
"BE_LiST36-0052","교육/예술/종교","문화시설","미술관","","북촌미술관","북촌미술관","","","서울특별시","종로구","가회동"
"BE_LiST36-0053","교육/예술/종교","문화시설","미술관","","빛갤러리","빛갤러리","","","서울특별시","종로구","삼청동"
"BE_LiST36-0054","교육/예술/종교","문화시설","미술관","","삼성미술관리움","삼성미술관리움","","","서울특별시","용산구","한남동"
"BE_LiST36-0055","교육/예술/종교","문화시설","미술관","","서울시립미술관/경희궁분관","서울시립미술관경희궁분관","","","서울특별시","종로구","사직동"
"BE_LiST36-0056","교육/예술/종교","문화시설","미술관","","서울옥션센터","서울옥션센터","","","서울특별시","종로구","평창동"
"BE_LiST36-0057","교육/예술/종교","문화시설","미술관","","서하갤러리","서하갤러리","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0058","교육/예술/종교","문화시설","미술관","","서화갤러리","서화갤러리","","","서울특별시","용산구","한남동"
"BE_LiST36-0059","교육/예술/종교","문화시설","미술관","","선갤러리","선갤러리","","","서울특별시","종로구","삼청동"
"BE_LiST36-0060","교육/예술/종교","문화시설","미술관","","섭갤러리","섭갤러리","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0061","교육/예술/종교","문화시설","미술관","","세미화랑","세미화랑","","","서울특별시","종로구","이화동"
"BE_LiST36-0062","교육/예술/종교","문화시설","미술관","","소나무갤러리","소나무갤러리","","","서울특별시","종로구","가회동"
"BE_LiST36-0063","교육/예술/종교","문화시설","미술관","","소마미술관","소마미술관","","","서울특별시","송파구","오륜동"
"BE_LiST36-0064","교육/예술/종교","문화시설","미술관","","수도예공방","수도예공방","","","서울특별시","마포구","연남동"
"BE_LiST36-0065","교육/예술/종교","문화시설","미술관","","스페이스갤러리","스페이스갤러리","","","서울특별시","강남구","청담동"
"BE_LiST36-0066","교육/예술/종교","문화시설","미술관","","시립미술관난지/창작스튜디오","시립미술관난지창작스튜디오","","","서울특별시","마포구","상암동"
"BE_LiST36-0067","교육/예술/종교","문화시설","미술관","","시율재갤러리","시율재갤러리","","","서울특별시","종로구","평창동"
"BE_LiST36-0068","교육/예술/종교","문화시설","미술관","","씽크씽크/미술관","씽크씽크미술관","","","서울특별시","강남구","삼성2동"
"BE_LiST36-0069","교육/예술/종교","문화시설","미술관","","아리수아트타운","아리수아트타운","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0070","교육/예술/종교","문화시설","미술관","","아트사이드","아트사이드","","","서울특별시","종로구","사직동"
"BE_LiST36-0071","교육/예술/종교","문화시설","미술관","","아트스퀘어","아트스퀘어","","","서울특별시","강남구","도곡1동"
"BE_LiST36-0072","교육/예술/종교","문화시설","미술관","","아트에셋","아트에셋","","","서울특별시","마포구","서교동"
"BE_LiST36-0073","교육/예술/종교","문화시설","미술관","","아트파크","아트파크","","","서울특별시","종로구","삼청동"
"BE_LiST36-0074","교육/예술/종교","문화시설","미술관","","아프리카/미술관","아프리카미술관","","","서울특별시","종로구","삼청동"
"BE_LiST36-0075","교육/예술/종교","문화시설","미술관","","어반아트","어반아트","","","서울특별시","강남구","신사동"
"BE_LiST36-0076","교육/예술/종교","문화시설","미술관","","에이엠","에이엠","","","서울특별시","종로구","삼청동"
"BE_LiST36-0227","교육/예술/종교","문화시설","박물관","","증권박물관","증권박물관","","","서울특별시","영등포구","여의동"
"BE_LiST36-0228","교육/예술/종교","문화시설","박물관","","짚풀생활사박물관","짚풀생활사박물관","","","서울특별시","종로구","혜화동"
