"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST37-0096","관광/숙박","숙박","일반호텔","","라바호텔","라바호텔","","","서울특별시","서초구","서초3동"
"BE_LiST37-0097","관광/숙박","숙박","일반호텔","","라자호텔","라자호텔","","","서울특별시","송파구","방이2동"
"BE_LiST37-0098","관광/숙박","숙박","일반호텔","","레인보우호텔","레인보우호텔","","","서울특별시","용산구","남영동"
"BE_LiST37-0099","관광/숙박","숙박","일반호텔","","렉스관광호텔","렉스관광호텔","","","서울특별시","강남구","논현1동"
"BE_LiST37-0100","관광/숙박","숙박","일반호텔","","렉시호텔","렉시호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0101","관광/숙박","숙박","일반호텔","","로얄호텔/서울로얄호텔점","로얄호텔서울로얄호텔점","","","서울특별시","중구","명동"
"BE_LiST37-0102","관광/숙박","숙박","일반호텔","","리츠호텔","리츠호텔","","","서울특별시","노원구","상계6.7동"
"BE_LiST37-0103","관광/숙박","숙박","일반호텔","","메이관광호텔","메이관광호텔","","","서울특별시","중랑구","상봉2동"
"BE_LiST37-0104","관광/숙박","숙박","일반호텔","","메이저호텔","메이저호텔","","","서울특별시","강남구","대치4동"
"BE_LiST37-0105","관광/숙박","숙박","일반호텔","","바비엥스위트원","바비엥스위트원","","","서울특별시","중구","소공동"
"BE_LiST37-0106","관광/숙박","숙박","일반호텔","","발리호텔","발리호텔","","","서울특별시","강남구","삼성2동"
"BE_LiST37-0107","관광/숙박","숙박","일반호텔","","발리호텔","발리호텔","","","서울특별시","강동구","길동"
"BE_LiST37-0108","관광/숙박","숙박","일반호텔","","베네치아호텔","베네치아호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0109","관광/숙박","숙박","일반호텔","","벨라지오호텔","벨라지오호텔","","","서울특별시","은평구","불광1동"
"BE_LiST37-0110","관광/숙박","숙박","일반호텔","","삼호관광호텔","삼호관광호텔","","","서울특별시","종로구","창신1동"
"BE_LiST37-0111","관광/숙박","숙박","일반호텔","","서울호텔","서울호텔","","","서울특별시","영등포구","영등포동"
"BE_LiST37-0112","관광/숙박","숙박","일반호텔","","서호호텔","서호호텔","","","서울특별시","서초구","서초4동"
"BE_LiST37-0113","관광/숙박","숙박","일반호텔","","소피아/관광호텔","소피아관광호텔","","","서울특별시","도봉구","쌍문3동"
"BE_LiST37-0114","관광/숙박","숙박","일반호텔","","스타호텔","스타호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0115","관광/숙박","숙박","일반호텔","","시네마호텔","시네마호텔","","","서울특별시","성북구","동선동"
"BE_LiST37-0116","관광/숙박","숙박","일반호텔","","시네마호텔","시네마호텔","","","서울특별시","관악구","청룡동"
"BE_LiST37-0117","관광/숙박","숙박","일반호텔","","신라호텔/영빈관","신라호텔영빈관","","","서울특별시","중구","장충동"
"BE_LiST37-0118","관광/숙박","숙박","일반호텔","","썬비호텔","썬비호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0119","관광/숙박","숙박","일반호텔","","아르고호텔","아르고호텔","","","서울특별시","강동구","길동"
"BE_LiST37-0120","관광/숙박","숙박","일반호텔","","아마레호텔","아마레호텔","","","서울특별시","강남구","역삼2동"
"BE_LiST37-0121","관광/숙박","숙박","일반호텔","","아이엠아이호텔","아이엠아이호텔","","","서울특별시","강남구","역삼2동"
"BE_LiST37-0122","관광/숙박","숙박","일반호텔","","아카데미/하우스호텔","아카데미하우스호텔","","","서울특별시","강북구","인수동"
"BE_LiST37-0123","관광/숙박","숙박","일반호텔","","엘르인호텔","엘르인호텔","","","서울특별시","용산구","남영동"
"BE_LiST37-0124","관광/숙박","숙박","일반호텔","","엠비즈호텔","엠비즈호텔","","","서울특별시","강남구","삼성2동"
"BE_LiST37-0125","관광/숙박","숙박","일반호텔","","엠호텔","엠호텔","","","서울특별시","마포구","대흥동"
