"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0256","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태왕사신기/촬영지","태왕사신기촬영지","충청북도","단양군","영춘면"
"BE_IW04-0257","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태조왕건/문경촬영장","태조왕건문경촬영장","경상북도","문경시","문경읍"
"BE_IW04-0258","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태조왕건해상촬영장","태조왕건해상촬영장","","",""
"BE_IW04-0259","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","토지촬영세트","토지촬영세트","강원도","횡성군","우천면"
"BE_IW04-0260","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","판타스틱/스튜디오","판타스틱스튜디오","경기도","부천시 원미구","상3동"
"BE_IW04-0261","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","폭풍속으로/세트장","폭풍속으로세트장","경상북도","울진군","죽변면"
"BE_IW04-0262","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","풀하우스/세트장","풀하우스세트장","인천광역시","옹진군","북도면"
"BE_IW04-0263","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","프라하의연인/촬영장","프라하의연인촬영장","전라북도","부안군","줄포면"
"BE_IW04-0264","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","하늘정원촬영지","하늘정원촬영지","","",""
"BE_IW04-0265","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","하늘정원촬영지","하늘정원촬영지","","",""
"BE_IW04-0266","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","합천영상/테마파크","합천영상테마파크","경상남도","합천군","용주면"
"BE_IW04-0267","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","합천영상테마파크","합천영상테마파크","","",""
"BE_IW04-0268","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","합천영상테마파크","합천영상테마파크","","",""
"BE_IW04-0269","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","해신드라마촬영지","해신드라마촬영지","","",""
"BE_IW04-0270","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","해신드라마촬영지","해신드라마촬영지","","",""
"BE_IW04-0271","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","해신찰영지/(신라방)","해신찰영지(신라방)","전라남도","완도군","군외면"
"BE_IW04-0272","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","해신촬영지","해신촬영지","전라남도","완도군","완도읍"
"BE_IW04-0273","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","해양드라마세트장","해양드라마세트장","","",""
"BE_IW04-0274","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","허준유배지드라마촬영지","허준유배지드라마촬영지","","",""
"BE_IW04-0275","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","허준촬영지","허준촬영지","","",""
"BE_IW04-0276","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","화려한휴가영화촬영세트장","화려한휴가영화촬영세트장","","",""
"BE_IW04-0277","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","화려한휴가촬영지","화려한휴가촬영지","","",""
"BE_IW04-0278","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","화왕산영화/드라마촬영장","화왕산영화드라마촬영장","경상남도","창녕군","창녕읍"
"BE_IW04-0279","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","환상의커플촬영지","환상의커플촬영지","","",""
"BE_IW04-0280","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","환상의커플촬영지","환상의커플촬영지","","",""
"BE_IW04-0281","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","환상의커플촬영지","환상의커플촬영지","","",""
"BE_IW04-0282","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","환상의커플촬영지","환상의커플촬영지","","",""
"BE_IW04-0283","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","환상의커플촬영지","환상의커플촬영지","","",""
"BE_IW04-0284","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","황금사과촬영지","황금사과촬영지","","",""
