NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),지질-가식부 100g당,탄수화물(g),총 식이섬유(g),칼슘(㎎),철(㎎),인(㎎),셀레늄(㎍),레티놀(㎍),레티놀A효능,비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),비타민 C(㎎),총 아미노산(g),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인(㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),냉산가용성물질(㎎),회분(g),성분표출처,발행기관
37,N000023-76-03,N000023,수산물,품목대표,각시수랑,2018,사천,3월,수산물,패류,100,g,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
38,N000023-33-05,N000023,수산물,품목대표,각시수랑,2018,부산,5월,수산물,패류,100,g,70,80,15,0.3,-,0.9,-,29,2.1,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,수('2018),국립수산과학원
39,N000024-33-10,N000024,수산물,품목대표,각시흰새우,2018,부산,10월,수산물,갑각류,100,g,85,77.8,15.7,1.6,-,1,0,1341,1.8,30,0.18,9,30,0.05,0.1,1.6,2,14,642,991,1077,409,613,555,161,782,305,1057,518,187,869,1427,2135,788,811,553,141,-,-,-,-,-,-,3.9,수('2018),국립수산과학원
40,N000025-72-AVG,N000025,수산물,품목대표,갈가자미,2018,포항,평균,수산물,어류,100,g,90,79.1,18.3,1.3,-,0.2,-,22,1.9,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
41,N000026-73-06,N000026,수산물,품목대표,갈고리흰오징어,2018,포항(독도연),6월,수산물,두족류,100,g,-,-,15.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.5,477,870,838,345,425,496,212,468,219,893,335,615,646,1069,1647,40,410,481,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
42,N000026-28-05,N000026,수산물,품목대표,갈고리흰오징어,2018,동해,5월,수산물,두족류,100,g,72,81.6,15,0.6,-,1,0,18,1.5,-,-,0,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,수('2018),국립수산과학원
43,N000027-73-06,N000027,수산물,품목대표,갈고리흰오징어-근육,2018,포항(독도연),6월,수산물,두족류,100,g,-,-,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.6,578,1013,996,189,565,575,266,577,543,945,380,170,840,1550,1844,485,578,625,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
44,N000028-ZZ-AVG,N000028,수산물,품목대표,갈래곰보,2018,전국(대표),평균,수산물,해조류,100,g,12,93.5,0.9,0.2,-,4.3,0.3,79,1.2,0,-,0,-,0,0.03,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,수('2018),국립수산과학원
45,N000028-59-AVG,N000028,수산물,품목대표,갈래곰보,2018,제주,평균,수산물,해조류,100,g,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
46,N000028-59-02,N000028,수산물,품목대표,갈래곰보,2018,제주,2월,수산물,해조류,100,g,-,-,16.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.4,754,1125,983,290,757,883,224,912,75,1118,581,195,1145,1456,2111,1169,694,970,46,-,-,-,-,-,-,-,수('2018),국립수산과학원
