MAPIDX,STORENAME,WHICHCVS,ADDRESS
235,KU점,C·SPACE,경기 의정부시 서부로 545 효충관１층
236,양주점,C·SPACE,경기 양주시 온현면 화합로 1093
237,동두천중앙,C·SPACE,경기 동두천시 어수로 100-1
238,포천동교점,C·SPACE,경기 포천시 동교동 430-8
239,정릉3점,C·SPACE,서울 성북구 솔샘로6길 66
240,김포에코센터점,C·SPACE,경기 김포시 금포로 1231 (운양동)
241,영종도점,C·SPACE,인천 중구 백운로186번길 72-12 (운북동)
242,한울하임점,C·SPACE,경기 고양시 일산동구 동국로223번길 61 (성석동)
243,서정마을점,C·SPACE,경기 고양시 덕양구 중앙로 390 (행신동)
244,김포고촌역점,C·SPACE,경기 김포시 고촌읍 김포대로 349
245,김포율생점,C·SPACE,경기 김포시 대곶면 종생로 111
246,운양점,C·SPACE,경기 김포시 김포한강11로 322 (운양동)
247,청라레이크하우스점,C·SPACE,인천 서구 청라대로 204 (청라동)
248,주안미추홀점,C·SPACE,인천시 미추홀구 주안동 486-6
249,용현인하점,C·SPACE,"인천 미추홀구 용정공원로 33 (용현동, 인천 SK Sky VIEW)"
250,김포마송점,C·SPACE,경기 김포시 통진읍 마송1로16번길 18-87
251,인천시청역점,C·SPACE,인천 남동구 구월로 지하 99 (간석동)
252,파주점,C·SPACE,경기 파주시 탄현면 방촌로 736
253,파평점,C·SPACE,경기 파주시 파평면 장마루로 255
254,화곡점,C·SPACE,서울 강서구 강서로8길 154 (화곡동)
255,야당역점,C·SPACE,경기 파주시 경의로 1100 (야당동)
256,한길점,C·SPACE,인천 서구 검단로 861 (불로동)
257,통진점,C·SPACE,경기 김포시 통진읍 애기봉로573번길 29
258,갈산점,C·SPACE,인천 부평구 평천로287번길 1 (갈산동)
259,힐링캠프점,C·SPACE,인천시 중구 선녀바위로70
260,능곡할인마트점,C·SPACE,경기 고양시 덕양구 토당로 42번길 13-15
261,부평프렌즈점,C·SPACE,인천 부평구 경원대로 1414 (부평동)
262,여주가남점,C·SPACE,경기 여주시 가남읍 경충대로961번길 2-1
263,자양제일점,C·SPACE,서울 광진구 동일로4길 21 (자양동)
264,제일오토캠핑장점,C·SPACE,경기 용인시 처인구 원삼면 문촌로 166
265,초광산단점,C·SPACE,경기 하남시 초광산단서로16번길 5 (초이동)
266,용인신원점,C·SPACE,경기 용인시 처인구 포곡읍 곡현로 299
267,테마파크점,C·SPACE,경기 용인시 처인구 원삼면 내동로 61
268,곤지암점,C·SPACE,경기 광주시 곤지암읍 경충대로 547
269,이천신둔점,C·SPACE,경기 이천시 신둔면 황무로 427-10
270,보물섬점,C·SPACE,서울 강동구 상암로63길 45 (명일동)
271,성남한아름점,C·SPACE,"경기 성남시 수정구 제일로224번길 7 (태평동, 부광빌라)"
272,미금점,C·SPACE,경기 성남시 분당구 미금일로90번길 22 (구미동)
